date,Number
21/08/2019,7154.432081
24/08/2019,7252.655935
23/08/2019,7220.172456
25/08/2019,7297.514074
27/08/2019,7274.311588
30/08/2019,7230.484672
31/08/2019,7204.704132
03/09/2019,7189.235809
05/09/2019,7162.166243
09/09/2019,7163.455269
10/09/2019,7189.235809
12/09/2019,7258.843265
11/09/2019,7220.172456
14/09/2019,7312.982397
16/09/2019,7336.184883
20/09/2019,7336.184883
24/09/2019,7336.184883
27/09/2019,7328.450721
01/10/2019,7323.294613
01/10/2019,7300.092128
04/10/2019,7289.779912
05/10/2019,7270.444507
08/10/2019,7258.843265
08/10/2019,7235.640779
12/10/2019,7235.640779
13/10/2019,7216.305375
16/10/2019,7318.138505
15/10/2019,7282.04575
14/10/2019,7251.109103
18/10/2019,7365.187989
19/10/2019,7405.792339
22/10/2019,7382.589853
24/10/2019,7390.324015
25/10/2019,7359.387368
26/10/2019,7331.028775
28/10/2019,7390.324015
28/10/2019,7359.387368
30/10/2019,7454.13085
30/10/2019,7417.393581
31/10/2019,7531.472467
31/10/2019,7490.868118
03/11/2019,7581.100005
03/11/2019,7555.319466
05/11/2019,7529.538927
06/11/2019,7501.180334
10/11/2019,7434.150932
14/11/2019,7428.994824
17/11/2019,7432.861905
19/11/2019,7459.931471
21/11/2019,7500.53582
24/11/2019,7532.116981
26/11/2019,7593.990275
25/11/2019,7560.475574
27/11/2019,7658.441623
27/11/2019,7622.348868
28/11/2019,7691.956324
01/12/2019,7777.032104
30/11/2019,7749.962538
04/12/2019,7777.032104
08/12/2019,7777.032104
12/12/2019,7800.234589
14/12/2019,7823.437075
17/12/2019,7777.032104
18/12/2019,7719.025891
20/12/2019,7684.222163
23/12/2019,7668.753839
23/12/2019,7637.817192
25/12/2019,7715.15881
25/12/2019,7691.956324
26/12/2019,7777.032104
28/12/2019,7885.310369
28/12/2019,7854.373722
28/12/2019,7831.171236
30/12/2019,7922.047637
03/01/2020,7980.698364
01/01/2020,7954.917825
05/01/2020,8016.791119
08/01/2020,7954.917825
10/01/2020,7931.715339
11/01/2020,7900.778692
12/01/2020,7862.107883
14/01/2020,7831.171236
15/01/2020,7807.968751
15/01/2020,7780.899185
19/01/2020,7748.673511
20/01/2020,7719.025891
21/01/2020,7780.899185
22/01/2020,7856.951776
22/01/2020,7823.437075
25/01/2020,7918.82507
23/01/2020,7885.310369
26/01/2020,8001.322795
26/01/2020,7947.183663
28/01/2020,7916.247016
30/01/2020,7872.420099
30/01/2020,7838.905398
30/01/2020,7811.835832
01/02/2020,7792.500427
02/02/2020,7761.56378
05/02/2020,7730.627133
07/02/2020,7722.892971
09/02/2020,7668.753839
11/02/2020,7645.551354
13/02/2020,7606.880545
15/02/2020,7575.943898
17/02/2020,7556.608493
20/02/2020,7583.678059
22/02/2020,7609.458599
25/02/2020,7637.817192
28/02/2020,7630.08303
04/03/2020,7668.753839
05/03/2020,7699.690486
07/03/2020,7738.361295
09/03/2020,7823.437075
09/03/2020,7788.633347
10/03/2020,7931.715339
10/03/2020,7900.778692
10/03/2020,7869.842045
12/03/2020,8024.525281
12/03/2020,7985.854472
12/03/2020,7958.784906
14/03/2020,8148.271869
14/03/2020,8117.335222
14/03/2020,8086.398575
14/03/2020,8063.19609
15/03/2020,8302.955105
15/03/2020,8272.018458
15/03/2020,8241.08181
15/03/2020,8210.145163
15/03/2020,8183.075597
17/03/2020,8457.63834
16/03/2020,8418.967531
16/03/2020,8388.030884
16/03/2020,8357.094237
16/03/2020,8333.891752
18/03/2020,8627.789899
18/03/2020,8596.853252
18/03/2020,8565.916605
18/03/2020,8534.979958
18/03/2020,8504.043311
20/03/2020,8782.473135
20/03/2020,8751.536488
20/03/2020,8720.599841
20/03/2020,8689.663194
20/03/2020,8662.593627
21/03/2020,8937.15637
21/03/2020,8898.485562
21/03/2020,8867.548914
21/03/2020,8836.612267
21/03/2020,8813.409782
23/03/2020,9014.497988
22/03/2020,8979.69426
25/03/2020,9122.776253
25/03/2020,9091.839606
25/03/2020,9060.902959
